relic_name,reward_name,rarity,vaulted
Axi A1,Akstiletto Prime Barrel,uncommon,True
Axi A1,Trinity Prime Systems Blueprint,common,True
Axi A1,Fragor Prime Head,common,True
Axi A1,Dual Kamas Prime Handle,uncommon,True
Axi A1,Braton Prime Stock,common,True
Axi A1,Nikana Prime Blueprint,rare,True
Axi A10,Aksomati Prime Link,rare,True
Axi A10,Wukong Prime Chassis Blueprint,uncommon,True
Axi A10,Paris Prime Grip,uncommon,True
Axi A10,Akbronco Prime Blueprint,common,True
Axi A10,Forma Blueprint,common,True
Axi A10,Stradavar Prime Receiver,common,True
Axi A11,Atlas Prime Neuroptics Blueprint,rare,True
Axi A11,Pangolin Prime Blade,uncommon,True
Axi A11,Wukong Prime Systems Blueprint,uncommon,True
Axi A11,Zhuge Prime String,common,True
Axi A11,Fang Prime Blueprint,common,True
Axi A11,Burston Prime Receiver,common,True
Axi A12,Akbolto Prime Receiver,rare,True
Axi A12,Helios Prime Systems,uncommon,True
Axi A12,Banshee Prime Blueprint,uncommon,True
Axi A12,Forma Blueprint,common,True
Axi A12,Mirage Prime Chassis Blueprint,common,True
Axi A12,Kogake Prime Boot,common,True
Axi A13,Aksomati Prime Link,rare,True
Axi A13,Orthos Prime Blueprint,uncommon,True
Axi A13,Pangolin Prime Blade,uncommon,True
Axi A13,Forma Blueprint,common,True
Axi A13,Burston Prime Receiver,common,True
Axi A13,Inaros Prime Systems Blueprint,common,True
Axi A14,Aksomati Prime Link,rare,True
Axi A14,Karyst Prime Handle,uncommon,True
Axi A14,Nidus Prime Blueprint,uncommon,True
Axi A14,Zakti Prime Receiver,common,True
Axi A14,Paris Prime Blueprint,common,True
Axi A14,Volnus Prime Blueprint,common,True
Axi A15,Aksomati Prime Link,rare,True
Axi A15,Oberon Prime Systems Blueprint,uncommon,True
Axi A15,Ivara Prime Systems Blueprint,uncommon,True
Axi A15,Baza Prime Receiver,common,True
Axi A15,Forma Blueprint,common,True
Axi A15,Sybaris Prime Stock,common,True
Axi A16,Afuris Prime Receiver,rare,True
Axi A16,Revenant Prime Systems Blueprint,uncommon,True
Axi A16,Harrow Prime Neuroptics Blueprint,uncommon,True
Axi A16,Scourge Prime Blade,common,True
Axi A16,Braton Prime Blueprint,common,True
Axi A16,Fang Prime Handle,common,True
Axi A17,Afuris Prime Receiver,rare,True
Axi A17,Orthos Prime Blueprint,uncommon,True
Axi A17,Shade Prime Blueprint,uncommon,True
Axi A17,Forma Blueprint,common,True
Axi A17,Wisp Prime Systems Blueprint,common,True
Axi A17,Braton Prime Barrel,common,True
Axi A18,Acceltra Prime Stock,rare,True
Axi A18,Akbronco Prime Link,uncommon,True
Axi A18,Hildryn Prime Chassis Blueprint,uncommon,True
Axi A18,Forma Blueprint,common,True
Axi A18,Paris Prime Lower Limb,common,True
Axi A18,Cobra & Crane Prime Hilt,common,True
Axi A19,Acceltra Prime Stock,rare,True
Axi A19,Xaku Prime Systems Blueprint,uncommon,True
Axi A19,Larkspur Prime Receiver,uncommon,True
Axi A19,Paris Prime Blueprint,common,True
Axi A19,Bronco Prime Receiver,common,True
Axi A19,Epitaph Prime Blueprint,common,True
Axi A2,Aklex Prime Link,rare,True
Axi A2,Aklex Prime Blueprint,uncommon,True
Axi A2,Lex Prime Blueprint,uncommon,True
Axi A2,Lex Prime Receiver,common,True
Axi A2,Forma Blueprint,common,True
Axi A2,Lex Prime Barrel,common,True
Axi A20,Alternox Prime Blueprint,rare,True
Axi A20,Kompressa Prime Receiver,uncommon,True
Axi A20,Lavos Prime Neuroptics Blueprint,uncommon,True
Axi A20,Cedo Prime Stock,common,True
Axi A20,Daikyu Prime String,common,True
Axi A20,Velox Prime Receiver,common,True
Axi A21,Alternox Prime Stock,rare,False
Axi A21,Voruna Prime Chassis Blueprint,uncommon,False
Axi A21,Cedo Prime Barrel,uncommon,False
Axi A21,Styanax Prime Blueprint,common,False
Axi A21,Forma Blueprint,common,False
Axi A21,Vadarya Prime Stock,common,False
Axi A22,Afentis Prime Blueprint,rare,False
Axi A22,2X Forma Blueprint,uncommon,False
Axi A22,Kompressa Prime Receiver,uncommon,False
Axi A22,Dual Zoren Prime Handle,common,False
Axi A22,Burston Prime Blueprint,common,False
Axi A22,Venato Prime Handle,common,False
Axi A23,Aksomati Prime Link,rare,
Axi A23,Protea Prime Neuroptics Blueprint,uncommon,
Axi A23,Burston Prime Barrel,uncommon,
Axi A23,Burston Prime Stock,common,
Axi A23,Velox Prime Receiver,common,
Axi A23,Forma Blueprint,common,
Axi A3,Akbolto Prime Receiver,rare,True
Axi A3,Hydroid Prime Neuroptics Blueprint,uncommon,True
Axi A3,Cernos Prime String,uncommon,True
Axi A3,Braton Prime Barrel,common,True
Axi A3,Helios Prime Carapace,common,True
Axi A3,Kogake Prime Boot,common,True
Axi A4,Akbolto Prime Receiver,rare,True
Axi A4,Fang Prime Handle,uncommon,True
Axi A4,Ballistica Prime String,uncommon,True
Axi A4,Braton Prime Stock,common,True
Axi A4,Forma Blueprint,common,True
Axi A4,Zephyr Prime Neuroptics Blueprint,common,True
Axi A5,Akvasto Prime Blueprint,rare,True
Axi A5,Vasto Prime Blueprint,uncommon,True
Axi A5,Akvasto Prime Link,uncommon,True
Axi A5,Vasto Prime Barrel,common,True
Axi A5,Vasto Prime Receiver,common,True
Axi A5,Forma Blueprint,common,True
Axi A6,Atlas Prime Neuroptics Blueprint,rare,True
Axi A6,Zhuge Prime Blueprint,uncommon,True
